Year,Revenue,ProfitAfterTax,TotalAssets,TotalLiabilities,DebtToEquityRatio,RevenueGrowthPercent
2025,259286,48797,156051,53000,0.514,5.69
2024,245315,46099,143000,46100,0.477,9.00
2023,225068,42303,143000,43600,0.438,7.91
2022,208552,38449,130000,40000,0.444,24.68
2021,167311,32562,120000,37000,0.446,3.58
2020,161541,32340,115000,35000,0.437,10.28
2019,146463,31372,110000,34000,0.447,19.00
2018,123104,25880,100000,30000,0.429,4.35
2017,117966,26289,95000,28000,0.417,8.57
2016,108646,24100,90000,26000,0.406,
